Video ID,Title,Description,Published At,Channel,View Count,Like Count,Comment Count
dQw4w9WgXcQ,Rick Astley - Never Gonna Give You Up (Official Music Video),The official video for “Never Gonna Give You Up” by Rick Astley.   Never: The Autobiography 📚 OUT NOW!  Follow this link to get your copy and listen to Rick’s ‘Never’ playlist ❤️ #RickAstleyNever https://linktr.ee/rickastleynever  “Never Gonna Give You Up” was a global smash on its release in July 1987  topping the charts in 25 countries including Rick’s native UK and the US Billboard Hot 100.  It also won the Brit Award for Best single in 1988. Stock Aitken and Waterman wrote and produced the track which was the lead-off single and lead track from Rick’s debut LP “Whenever You Need Somebody”.  The album was itself a UK number one and would go on to sell over 15 million copies worldwide.  The legendary video was directed by Simon West – who later went on to make Hollywood blockbusters such as Con Air  Lara Croft – Tomb Raider and The Expendables 2.  The video passed the 1bn YouTube views milestone on 28 July 2021.  Subscribe to the official Rick Astley YouTube channel: https://RickAstley.lnk.to/YTSubID  Follow Rick Astley: Facebook: https://RickAstley.lnk.to/FBFollowID  Twitter: https://RickAstley.lnk.to/TwitterID  Instagram: https://RickAstley.lnk.to/InstagramID  Website: https://RickAstley.lnk.to/storeID  TikTok: https://RickAstley.lnk.to/TikTokID  Listen to Rick Astley: Spotify: https://RickAstley.lnk.to/SpotifyID  Apple Music: https://RickAstley.lnk.to/AppleMusicID  Amazon Music: https://RickAstley.lnk.to/AmazonMusicID  Deezer: https://RickAstley.lnk.to/DeezerID   Lyrics: We’re no strangers to love You know the rules and so do I A full commitment’s what I’m thinking of You wouldn’t get this from any other guy  I just wanna tell you how I’m feeling Gotta make you understand  Never gonna give you up Never gonna let you down Never gonna run around and desert you Never gonna make you cry Never gonna say goodbye Never gonna tell a lie and hurt you  We’ve known each other for so long Your heart’s been aching but you’re too shy to say it Inside we both know what’s been going on We know the game and we’re gonna play it  And if you ask me how I’m feeling Don’t tell me you’re too blind to see  Never gonna give you up Never gonna let you down Never gonna run around and desert you Never gonna make you cry Never gonna say goodbye Never gonna tell a lie and hurt you  #RickAstley #NeverGonnaGiveYouUp #WheneverYouNeedSomebody #OfficialMusicVideo,2009-10-25T06:57:33Z,Rick Astley,1649839146,18323576,2389988
sVcwVQRHIc8,Learn RAG From Scratch – Python AI Tutorial from a LangChain Engineer,Learn how to implement RAG (Retrieval Augmented Generation) from scratch  straight from a LangChain software engineer. This Python course teaches you how to use RAG to combine your own custom data with the power of Large Language Models (LLMs).  💻 Code: https://github.com/langchain-ai/rag-from-scratch  If you're completely new to LangChain and want to learn about some fundamentals  check out our guide for beginners: https://www.freecodecamp.org/news/beginners-guide-to-langchain/  ✏️ Course created by Lance Martin  PhD. Lance on X: https://twitter.com/rlancemartin  ❤️ Try interactive AI courses we love  right in your browser: https://scrimba.com/freeCodeCamp-AI (Made possible by a grant from our friends at Scrimba)  ⭐️ Course Contents ⭐️ ⌨️ (0:00:00) Overview ⌨️ (0:05:53) Indexing ⌨️ (0:10:40) Retrieval ⌨️ (0:15:52) Generation ⌨️ (0:22:14) Query Translation (Multi-Query) ⌨️ (0:28:20) Query Translation (RAG Fusion) ⌨️ (0:33:57) Query Translation (Decomposition) ⌨️ (0:40:31) Query Translation (Step Back) ⌨️ (0:47:24) Query Translation (HyDE) ⌨️ (0:52:07) Routing ⌨️ (0:59:08) Query Construction ⌨️ (1:05:05) Indexing (Multi Representation) ⌨️ (1:11:39) Indexing (RAPTOR) ⌨️ (1:19:19) Indexing (ColBERT) ⌨️ (1:26:32) CRAG ⌨️ (1:44:09) Adaptive RAG ⌨️ (2:12:02) The future of RAG  🎉 Thanks to our Champion and Sponsor supporters: 👾 davthecoder 👾 jedi-or-sith 👾 南宮千影 👾 Agustín Kussrow 👾 Nattira Maneerat 👾 Heather Wcislo 👾 Serhiy Kalinets 👾 Justin Hual 👾 Otis Morgan  👾 Oscar Rahnama  --  Learn to code for free and get a developer job: https://www.freecodecamp.org  Read hundreds of articles on programming: https://freecodecamp.org/news,2024-04-17T13:54:43Z,freeCodeCamp.org,737022,15054,196
